Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,playerid
Zack Collins,White Sox,11,48,40,8,2,0,2,6,5,7,16,0,0,0,0.206,0.32,0.381,0.701,0.303,-0.2,0,0,19181
Ryon Healy,Brewers,8,35,33,8,2,0,2,4,5,2,8,0,0,0,0.259,0.303,0.469,0.772,0.322,-0.3,-0.1,0,15447
Jaylin Davis,Giants,23,98,89,21,4,0,3,10,10,7,29,1,1,1,0.233,0.296,0.397,0.693,0.295,0.4,0,0,19552
Anthony Bemboom,Angels,8,32,29,6,1,0,1,3,3,2,8,0,0,0,0.203,0.267,0.305,0.572,0.249,0.2,0,0,13854
Jake Cronenworth,Padres,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.252,0.32,0.358,0.678,0.295,0,0,0,sa857694
Kyle Farmer,Reds,13,52,48,11,3,0,1,5,6,3,12,1,1,0,0.238,0.29,0.378,0.668,0.284,0,0,0,14813
Pablo Sandoval,Giants,23,58,53,13,3,0,2,6,7,4,13,0,0,0,0.246,0.297,0.421,0.718,0.301,-0.3,-0.1,0,5409
Alex Kirilloff,Twins,5,21,20,5,1,0,1,2,2,1,4,0,0,0,0.273,0.315,0.429,0.744,0.314,-0.1,0,0,sa917929
Kevan Smith,,3,13,12,3,1,0,0,1,1,1,2,0,0,0,0.259,0.311,0.38,0.691,0.297,-0.1,0,0,12284
Andy Young,Diamondbacks,3,14,13,3,1,0,1,2,2,1,4,0,0,0,0.237,0.306,0.419,0.725,0.308,0,0,0,sa919031
Yu-Cheng Chang,Indians,16,70,63,14,3,0,2,8,7,5,20,1,1,0,0.221,0.287,0.368,0.655,0.28,0.2,0,0,14773
Breyvic Valera,Padres,3,14,13,3,1,0,0,1,1,1,2,0,0,0,0.258,0.322,0.373,0.694,0.299,-0.1,0,0,12758
Chad Wallach,Marlins,3,13,11,2,1,0,0,1,1,1,4,0,0,0,0.211,0.29,0.341,0.63,0.275,0,0,0,17161
Adam Engel,White Sox,37,161,146,32,6,1,3,17,15,10,47,3,4,2,0.217,0.279,0.346,0.624,0.27,0.5,0.3,0,15082
Donnie Walton,Mariners,3,14,13,3,1,0,0,1,1,1,2,0,0,0,0.241,0.309,0.346,0.655,0.286,0,0,0,19314
Esteban Quiroz,Padres,3,14,12,3,1,0,0,2,2,1,3,0,0,0,0.234,0.32,0.383,0.703,0.302,0,0,0,sa596560
Jason Martin,Pirates,18,57,52,13,3,1,1,6,6,4,13,0,1,1,0.249,0.302,0.407,0.709,0.3,0.1,-0.1,0,16429
Yonathan Daza,Rockies,21,51,48,14,3,0,1,6,5,2,8,0,1,1,0.298,0.333,0.414,0.747,0.318,0.1,-0.1,0,15794
Aramis Garcia,Giants,5,19,18,4,1,0,1,2,2,1,6,0,0,0,0.212,0.265,0.356,0.621,0.265,0.1,0,0,16925
Nick Williams,Phillies,8,19,17,4,1,0,1,2,3,1,6,0,0,0,0.245,0.299,0.436,0.735,0.309,0,0,0,14330
Juan Lagares,,34,127,116,28,6,1,2,14,11,8,30,1,2,1,0.238,0.296,0.356,0.652,0.277,0.5,0.1,0,5384
Tim Lopes,Mariners,19,84,77,19,4,0,1,8,7,6,17,1,3,1,0.248,0.303,0.349,0.652,0.282,0.3,0,0,14137
Robel Garcia,Cubs,3,14,13,3,0,0,1,2,2,1,5,0,0,0,0.22,0.292,0.423,0.715,0.301,0,0,0,13167
Wyatt Mathisen,Diamondbacks,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.235,0.32,0.407,0.728,0.312,0,0,0,sa657937
Luis Torrens,Padres,3,13,12,3,1,0,0,1,1,1,3,0,0,0,0.238,0.296,0.363,0.66,0.283,0,0,0,15905
Deivy Grullon,Phillies,3,13,12,3,1,0,1,1,2,1,4,0,0,0,0.231,0.293,0.418,0.711,0.3,-0.2,0,0,15988
Andrew Velazquez,Orioles,31,133,124,29,6,1,3,14,13,7,36,1,4,2,0.234,0.281,0.367,0.648,0.277,0.2,0,0,14196
Taylor Ward,Angels,3,14,12,3,1,0,0,2,2,1,4,0,0,0,0.238,0.321,0.4,0.721,0.309,-0.1,0,0,17548
Welington Castillo,Nationals,10,38,35,9,2,0,1,4,6,2,11,0,0,0,0.245,0.294,0.419,0.713,0.301,-0.2,-0.1,0,3256
Cheslor Cuthbert,,5,21,19,5,1,0,1,2,2,1,5,0,0,0,0.241,0.297,0.404,0.701,0.297,-0.1,0,0,10473
Dylan Moore,Mariners,11,49,44,9,2,0,1,5,5,4,13,1,2,1,0.213,0.288,0.352,0.64,0.277,-0.1,0,0,18042
Hernan Perez,,3,14,13,3,1,0,0,2,2,1,3,0,0,0,0.253,0.293,0.407,0.7,0.295,-0.1,0,0,5751
Nick Martini,Phillies,6,16,14,3,1,0,0,2,1,2,3,0,0,0,0.25,0.336,0.36,0.696,0.304,0,0,0,12005
Chris Iannetta,Yankees,13,51,44,9,2,0,2,6,6,6,16,1,0,0,0.2,0.3,0.363,0.663,0.283,-0.6,-0.2,0,8267
Logan Morrison,,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.241,0.32,0.485,0.805,0.335,0,0,0,9205
Kelvin Gutierrez,Royals,5,21,19,5,1,0,0,2,2,1,5,0,0,0,0.247,0.301,0.363,0.664,0.286,0.1,0,0,17468
Scott Heineman,Rangers,29,126,114,29,6,1,3,14,13,9,32,2,3,2,0.252,0.316,0.396,0.712,0.305,0.2,-0.3,0,14453
Abraham Almonte,,3,14,12,3,1,0,0,2,1,2,3,0,0,0,0.229,0.315,0.396,0.712,0.304,-0.2,0,0,5486
Matt Adams,Mets,5,13,12,3,1,0,1,2,2,1,4,0,0,0,0.223,0.281,0.446,0.727,0.301,0,0,0,9393
Edmundo Sosa,Cardinals,5,21,20,5,1,0,0,2,2,1,4,0,0,0,0.247,0.287,0.371,0.658,0.28,0,0,0,17022
Bobby Bradley,Indians,5,21,19,4,1,0,1,3,3,2,7,0,0,0,0.226,0.292,0.45,0.742,0.309,0.1,0,0,17278
Cristian Pache,Braves,6,28,26,6,1,0,1,3,3,2,7,0,0,0,0.247,0.293,0.398,0.691,0.292,0.2,-0.1,0,sa916722
Meibrys Viloria,Royals,23,90,81,19,4,0,1,8,8,6,22,1,0,0,0.233,0.291,0.341,0.632,0.274,0.4,0,0,17109
Mike Freeman,Indians,5,21,19,4,1,0,0,2,2,2,6,0,0,0,0.237,0.307,0.334,0.641,0.28,0.1,0,0,11241
Brent Rooker,Twins,3,14,13,3,1,0,1,2,2,1,5,0,0,0,0.229,0.303,0.427,0.73,0.308,-0.1,0,0,sa3003172
Jack Mayfield,Astros,2,7,6,2,0,0,0,1,1,0,2,0,0,0,0.232,0.278,0.404,0.682,0.287,0,0,0,15402
Cesar Puello,Red Sox,2,7,6,2,0,0,0,1,1,1,2,0,0,0,0.247,0.332,0.381,0.713,0.309,0,0,0,7216
Vimael Machin,Athletics,2,7,6,1,0,0,0,1,1,1,1,0,0,0,0.239,0.318,0.341,0.659,0.286,0,0,0,sa602488
Tres Barrera,Nationals,2,6,6,1,0,0,0,1,1,0,1,0,0,0,0.234,0.294,0.363,0.657,0.283,0,0,0,19977
Ronny Rodriguez,Brewers,3,14,13,3,1,0,1,2,2,1,3,0,0,0,0.246,0.278,0.428,0.705,0.294,0,0,0,11875
Nicky Delmonico,White Sox,3,14,12,3,1,0,0,2,2,1,4,0,0,0,0.233,0.312,0.41,0.722,0.307,-0.1,0,0,13157
Brandon Dixon,Tigers,3,14,13,3,1,0,0,1,2,1,4,0,0,0,0.235,0.28,0.408,0.688,0.29,-0.1,0,0,15214
Nick Gordon,Twins,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.251,0.295,0.362,0.656,0.282,0,0,0,sa828662
Beau Taylor,,3,13,11,2,1,0,0,1,1,1,4,0,0,0,0.21,0.304,0.327,0.631,0.278,0,0,0,12384
Yangervis Solarte,,3,14,13,3,1,0,0,2,2,1,2,0,0,0,0.253,0.305,0.414,0.719,0.303,-0.1,0,0,5352
Austin Dean,Cardinals,2,7,6,2,0,0,0,1,1,0,1,0,0,0,0.266,0.318,0.438,0.756,0.319,-0.1,0,0,18288
Raudy Read,Nationals,2,6,6,1,0,0,0,1,1,0,1,0,0,0,0.246,0.285,0.409,0.694,0.29,0,0,0,15766
Mac Williamson,Nationals,3,14,13,3,1,0,1,2,2,1,4,0,0,0,0.237,0.306,0.429,0.735,0.31,0,0,0,14158
Seby Zavala,White Sox,3,13,12,2,0,0,0,1,1,1,5,0,0,0,0.204,0.261,0.356,0.617,0.264,0,0,0,18887
Alex Blandino,Reds,5,21,18,4,1,0,0,2,2,2,6,1,0,0,0.216,0.322,0.346,0.668,0.295,-0.1,0,0,16271
Bobby Dalbec,Red Sox,13,56,50,11,2,0,2,7,7,5,18,1,0,0,0.229,0.308,0.426,0.733,0.309,0,-0.1,0,sa857701
Eric Filia,Mariners,3,14,12,3,1,0,0,1,1,1,2,0,0,0,0.258,0.332,0.356,0.688,0.298,-0.1,0,0,sa827359
Christian Lopes,Marlins,2,7,6,1,0,0,0,1,1,1,1,0,0,0,0.234,0.311,0.355,0.666,0.29,0,0,0,sa601044
Rangel Ravelo,Cardinals,2,7,6,2,0,0,0,1,1,1,1,0,0,0,0.261,0.325,0.408,0.733,0.313,0,0,0,10839
Tzu-Wei Lin,Red Sox,6,28,26,6,1,0,0,3,2,2,7,0,1,0,0.243,0.299,0.351,0.65,0.281,0.1,0,0,14678
Josh Phegley,,5,19,18,4,1,0,1,2,3,1,4,0,0,0,0.235,0.288,0.395,0.683,0.289,-0.2,0,0,9308
Logan Forsythe,Phillies,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.23,0.323,0.357,0.681,0.298,0,0,0,7185
Dustin Fowler,Athletics,2,7,7,2,0,0,0,1,1,0,2,0,0,0,0.244,0.283,0.396,0.679,0.286,0,0,0,17098
Luke Raley,Dodgers,6,28,26,6,1,0,1,3,3,1,8,1,0,0,0.239,0.296,0.401,0.696,0.295,0,0,0,sa918048
Mark Mathias,Brewers,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.229,0.301,0.36,0.661,0.286,0,0,0,sa875006
Daz Cameron,Tigers,3,14,12,3,1,0,0,1,1,1,4,0,0,0,0.221,0.297,0.364,0.662,0.286,0,0,0,sa874736
Michael A. Taylor,Nationals,53,151,138,32,8,1,4,17,16,11,48,1,6,2,0.232,0.292,0.387,0.679,0.288,0.5,0.5,0,11489
Joe Hudson,,3,13,12,2,0,0,0,1,1,1,4,0,0,0,0.185,0.253,0.299,0.553,0.242,0.2,0,0,14412
Brian O'Grady,Rays,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.209,0.287,0.393,0.68,0.288,0,0,0,16729
Kean Wong,Giants,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.252,0.303,0.357,0.661,0.284,0,0,0,15994
Wilmer Difo,Nationals,2,7,6,2,0,0,0,1,1,1,1,0,0,0,0.246,0.308,0.351,0.659,0.283,0,0,0,14320
Pat Valaika,,2,7,7,1,0,0,0,1,1,0,2,0,0,0,0.223,0.266,0.395,0.66,0.278,0,0,0,14885
Sean Rodriguez,Marlins,5,21,18,4,1,0,1,2,2,2,7,0,0,0,0.198,0.294,0.361,0.655,0.283,0,0,0,6589
Cristhian Adames,Giants,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.234,0.294,0.351,0.645,0.278,-0.1,0,0,6013
John Hicks,Diamondbacks,5,19,18,4,1,0,1,2,2,1,6,0,0,0,0.232,0.274,0.389,0.663,0.28,0,0,0,12547
Eduardo Nunez,,5,21,20,5,1,0,0,2,2,1,3,0,1,0,0.257,0.287,0.385,0.672,0.285,-0.2,0,0,6848
Skye Bolt,Athletics,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.208,0.274,0.344,0.619,0.266,0,0,0,17723
Drew Waters,Braves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa3004378
Seth Beer,Diamondbacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa3006658
Luis Alexander Basabe,White Sox,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.214,0.284,0.337,0.621,0.269,0,0,0,sa736915
Ryan McBroom,Royals,52,224,203,50,10,0,7,25,24,16,59,2,1,1,0.249,0.309,0.403,0.712,0.302,0.3,-0.3,0,16524
Justin Williams,Cardinals,2,7,6,2,0,0,0,1,1,0,2,0,0,0,0.247,0.301,0.396,0.697,0.296,0,0,0,15490
Humberto Arteaga,Royals,3,14,13,3,1,0,0,1,1,1,2,0,0,0,0.249,0.281,0.326,0.608,0.262,0.2,0,0,13595
Josh Ockimey,Red Sox,3,14,12,3,1,0,1,2,2,2,5,0,0,0,0.219,0.318,0.408,0.726,0.31,0,0,0,sa829375
Gordon Beckham,,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.227,0.29,0.356,0.646,0.279,0,0,0,9015
Edward Olivares,Padres,2,7,6,2,0,0,0,1,1,0,1,0,0,0,0.235,0.285,0.363,0.647,0.277,0,0,0,sa832015
Jose Trevino,Rangers,8,32,30,7,1,0,1,3,3,1,6,0,0,0,0.231,0.264,0.343,0.607,0.259,0.4,0,0,16725
Tyler Wade,Yankees,26,112,101,23,4,1,2,12,10,9,28,1,4,1,0.23,0.295,0.34,0.635,0.275,0,0.2,0,15730
Elliot Soto,,3,14,13,3,0,0,0,1,1,1,3,0,0,0,0.224,0.286,0.312,0.598,0.261,0,0,0,sa390666
Phil Gosselin,Phillies,2,7,6,2,0,0,0,1,1,1,2,0,0,0,0.24,0.303,0.354,0.657,0.284,0,0,0,10953
Travis Jankowski,Reds,2,7,6,1,0,0,0,1,0,1,2,0,0,0,0.24,0.32,0.313,0.633,0.282,0,0,0,13768
Kyle Garlick,Phillies,2,7,6,1,0,0,0,1,1,0,2,0,0,0,0.225,0.278,0.437,0.715,0.297,0,0,0,18063
Erick Mejia,Royals,10,42,38,9,2,0,0,4,3,3,9,0,1,1,0.238,0.292,0.33,0.622,0.27,0.2,0,0,15817
Tyrone Taylor,Brewers,3,14,13,3,1,0,0,1,2,1,3,0,0,0,0.23,0.283,0.385,0.668,0.284,0.1,0,0,13675
Daniel Palka,White Sox,6,28,25,6,1,0,1,3,4,3,9,0,0,0,0.222,0.296,0.424,0.72,0.302,-0.3,0,0,14897
Jacob Nottingham,Brewers,2,6,6,1,0,0,0,1,1,0,2,0,0,0,0.204,0.274,0.341,0.615,0.265,0,0,0,16448
Matt Thaiss,Angels,13,56,50,12,2,0,2,6,6,5,13,0,0,0,0.237,0.309,0.393,0.701,0.3,-0.1,-0.1,0,19318
Adrian Sanchez,Nationals,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.256,0.294,0.366,0.659,0.28,0,0,0,11338
Sam Haggerty,Mariners,2,7,6,1,0,0,0,1,0,1,2,0,0,0,0.203,0.288,0.298,0.586,0.26,0,0,0,18054
Elias Diaz,Rockies,16,64,59,16,3,0,1,7,7,4,11,0,0,0,0.28,0.329,0.404,0.733,0.314,-0.4,0,0,11680
Caleb Joseph,Blue Jays,5,19,18,4,1,0,0,2,2,1,5,0,0,0,0.212,0.255,0.331,0.586,0.251,0,0,0,7087
Josh Harrison,Phillies,44,137,125,31,6,1,3,15,13,7,26,3,3,1,0.245,0.297,0.374,0.671,0.287,-0.1,0.2,0,8202
Troy Stokes Jr.,Tigers,5,21,19,4,1,0,1,2,2,2,6,0,1,0,0.219,0.302,0.369,0.671,0.29,0,0,0,sa828871
Keon Broxton,Brewers,2,7,6,1,0,0,0,1,1,1,3,0,0,0,0.193,0.274,0.346,0.62,0.268,0,0,0,9253
Jacoby Ellsbury,,19,84,75,18,3,0,1,9,7,7,15,1,3,1,0.241,0.311,0.349,0.66,0.287,-0.7,0.2,0,4727
Chris Shaw,Giants,5,21,19,5,1,0,1,2,3,1,6,0,0,0,0.238,0.292,0.418,0.71,0.299,-0.2,0,0,17738
Charlie Tilson,Pirates,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.251,0.302,0.333,0.635,0.276,0,0,0,12983
Richard Urena,Orioles,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.235,0.273,0.348,0.621,0.265,0.1,0,0,16411
Eli White,Rangers,5,21,19,4,1,0,0,2,2,1,6,0,0,0,0.233,0.298,0.353,0.651,0.282,-0.1,0,0,sa738478
Patrick Wisdom,Mariners,15,63,57,12,2,0,3,7,7,5,22,1,1,0,0.208,0.277,0.386,0.663,0.281,0,0.1,0,13602
Jesus Sanchez,Marlins,3,14,13,3,1,0,0,1,1,1,3,0,0,0,0.238,0.287,0.368,0.655,0.28,0.1,0,0,sa872787
Nick Heath,Royals,3,14,13,3,0,0,0,1,1,1,5,0,1,0,0.215,0.282,0.311,0.592,0.26,0,0,0,sa918355
Juan Centeno,Red Sox,3,13,12,3,1,0,0,1,1,1,2,0,0,0,0.246,0.297,0.344,0.642,0.277,-0.1,0,0,7168
Harold Castro,Tigers,5,21,20,5,1,0,0,2,2,1,4,0,0,0,0.262,0.286,0.352,0.639,0.273,0,0,0,14691
Isiah Kiner-Falefa,Rangers,8,34,30,8,2,0,0,3,3,2,6,1,1,0,0.251,0.314,0.349,0.663,0.289,-0.2,0,0,16512
Joe McCarthy,Giants,3,14,12,3,1,0,0,1,1,1,4,0,0,0,0.214,0.303,0.347,0.65,0.284,0,0,0,sa858039
Rocky Gale,,3,13,12,3,0,0,0,1,1,1,3,0,0,0,0.22,0.256,0.298,0.554,0.24,0.1,0,0,10533
Greg Allen,Indians,47,203,182,44,8,2,3,23,18,12,44,6,8,3,0.243,0.309,0.357,0.665,0.288,1,0.3,0,16623
Jorge Mateo,Athletics,10,42,39,9,2,1,1,4,4,2,12,0,2,1,0.227,0.265,0.367,0.632,0.267,0,0,0,sa657910
Sergio Alcantara,Tigers,5,21,19,4,1,0,0,2,1,2,4,0,0,0,0.233,0.295,0.293,0.588,0.261,0.1,0,0,sa739641
Jose Siri,Mariners,3,14,13,3,0,0,0,1,1,1,5,0,1,0,0.2,0.252,0.331,0.582,0.249,0,0,0,sa736940
Matt Kemp,Marlins,3,14,13,3,1,0,1,1,2,1,3,0,0,0,0.251,0.295,0.43,0.725,0.302,-0.3,0,0,5631
Ronnie Dawson,Astros,3,14,13,3,0,0,0,1,1,1,5,0,0,0,0.2,0.269,0.334,0.604,0.261,-0.1,0,0,sa873674
Corey Ray,Brewers,2,7,6,1,0,0,0,1,1,1,3,0,0,0,0.199,0.266,0.354,0.619,0.264,0,0,0,sa738510
Andrew Stevenson,Nationals,3,14,13,3,1,0,0,1,1,1,4,0,0,0,0.248,0.302,0.349,0.651,0.281,-0.1,0,0,17932
Mickey Moniak,Phillies,3,14,13,3,1,0,0,1,1,1,4,0,0,0,0.228,0.27,0.362,0.632,0.268,-0.1,0,0,sa917920
Andrew Knapp,Phillies,23,90,78,17,4,0,2,9,7,10,29,1,0,0,0.214,0.307,0.337,0.645,0.28,-1,0.1,0,14942
C.J. Chatham,Red Sox,16,70,66,17,3,0,1,7,6,3,15,0,1,0,0.263,0.294,0.358,0.652,0.279,0,0,0,sa873984
Drew Robinson,,3,14,12,2,1,0,0,1,1,1,5,0,0,0,0.201,0.289,0.346,0.634,0.275,0,0,0,11761
Brendan McKay,Rays,3,14,12,3,0,0,0,1,1,1,4,0,0,0,0.208,0.291,0.355,0.646,0.28,0,0,0,20186
Charlie Culberson,Braves,21,71,66,16,3,0,2,7,8,4,18,1,1,0,0.239,0.284,0.383,0.667,0.282,0.2,0,0,3298
Miguel Cabrera,Tigers,138,595,532,144,26,0,16,56,70,54,118,3,0,0,0.27,0.338,0.409,0.747,0.318,0,-3.6,0,1744
Steve Wilkerson,,6,28,26,6,1,0,1,3,3,2,8,0,0,0,0.229,0.284,0.349,0.633,0.273,0,0,0,16041
Richie Martin Jr.,Orioles,15,63,57,13,2,1,1,6,5,4,15,1,2,1,0.225,0.281,0.341,0.623,0.269,0,0,0,17736
Evan White,Mariners,130,560,515,124,20,2,19,62,64,36,139,4,3,1,0.24,0.293,0.4,0.692,0.293,1.2,0.2,0,sa915774
Kevin Kramer,Pirates,24,85,77,18,4,0,2,8,9,6,23,1,1,1,0.236,0.299,0.369,0.667,0.286,0,-0.1,0,17689
Arquimedes Gamboa,Phillies,3,14,12,2,0,0,0,1,1,1,4,0,0,0,0.185,0.268,0.269,0.537,0.241,0,0,0,sa877497
Blake Swihart,Rangers,3,14,13,3,0,0,0,2,1,1,4,0,0,0,0.211,0.282,0.339,0.622,0.27,0,0,0,13176
Steve Pearce,,18,77,68,15,3,0,2,9,9,7,20,1,0,0,0.228,0.308,0.39,0.698,0.3,-0.2,-0.1,0,9957
Sam Travis,Rangers,10,42,38,10,2,0,1,5,4,3,10,0,0,0,0.259,0.321,0.399,0.72,0.308,0,0,-0.1,16263
Hanley Ramirez,,32,140,125,30,5,0,6,16,19,13,33,2,1,1,0.237,0.313,0.426,0.74,0.312,-0.3,-0.5,-0.1,8001
Braden Bishop,Mariners,28,119,108,24,5,0,2,12,10,8,29,1,1,1,0.223,0.286,0.325,0.611,0.267,1,0,-0.1,17806
Chris Owings,,16,50,46,11,3,0,1,5,6,3,14,0,1,1,0.249,0.299,0.402,0.701,0.296,0,0.1,-0.1,10030
Monte Harrison,Marlins,32,140,127,28,5,1,4,14,13,10,47,2,6,2,0.217,0.283,0.356,0.639,0.276,0,0.4,-0.1,sa828691
Kyle Lewis,Mariners,109,469,429,99,20,1,14,47,50,33,142,2,2,1,0.23,0.287,0.381,0.668,0.284,0.7,0.1,-0.1,19508
Michael Hermosillo,Angels,19,84,75,16,3,1,2,9,9,6,26,2,2,1,0.213,0.288,0.361,0.648,0.28,-0.1,-0.1,-0.1,16285
Carlos Gonzalez,,47,203,183,41,9,0,6,23,21,17,55,1,1,1,0.226,0.293,0.383,0.676,0.287,-0.3,-0.2,-0.1,7287
Seth Brown,Athletics,24,105,96,22,5,1,3,12,12,7,31,1,1,0,0.227,0.281,0.392,0.673,0.284,0,0,-0.1,18171
Jon Jay,Diamondbacks,37,121,110,29,5,1,1,13,9,7,22,3,1,0,0.268,0.322,0.348,0.67,0.292,-0.2,0,-0.1,5227
Mark Trumbo,,36,154,142,34,6,0,8,18,22,11,41,1,0,0,0.237,0.291,0.449,0.74,0.31,-0.7,-0.2,-0.1,6876
Mark Reynolds,,23,98,86,19,4,0,4,11,13,10,31,1,1,0,0.221,0.306,0.4,0.706,0.302,-0.1,-0.2,-0.1,7619
Anthony Alford,Blue Jays,31,133,120,26,6,0,3,14,12,10,42,2,6,2,0.216,0.284,0.337,0.621,0.27,-0.1,0.2,-0.1,14329
Melky Cabrera,,55,238,221,62,13,1,5,26,28,13,29,1,1,1,0.278,0.319,0.414,0.733,0.31,-1.5,-0.7,-0.1,4022
Lucas Duda,,26,112,99,22,5,0,5,12,16,10,33,2,0,0,0.219,0.298,0.418,0.716,0.3,-0.1,-0.3,-0.1,2502
Ian Desmond,Rockies,97,300,273,71,13,2,11,38,40,22,73,3,5,2,0.26,0.318,0.443,0.76,0.32,-2,0.1,-0.1,6885
Adolis Garcia,Rangers,29,126,117,27,6,1,5,15,17,5,38,2,3,2,0.233,0.274,0.429,0.703,0.293,0.1,-0.1,-0.2,19287
Josh Fuentes,Rockies,37,121,113,29,6,1,3,14,14,5,31,1,1,1,0.259,0.295,0.422,0.718,0.301,0.6,-0.1,-0.2,16885
Bubba Starling,Royals,26,112,104,23,5,0,2,11,10,6,30,1,2,1,0.223,0.27,0.339,0.609,0.262,-0.1,0.1,-0.2,13356
Drew Butera,,31,122,109,26,6,1,3,13,13,10,29,1,1,0,0.238,0.307,0.375,0.682,0.293,-0.9,-0.1,-0.2,3411
Jonathan Arauz,Red Sox,26,112,103,23,5,1,2,11,11,7,23,1,1,1,0.223,0.276,0.352,0.629,0.27,-0.5,-0.2,-0.2,sa877498
Austin Jackson,,23,98,89,21,5,0,1,9,9,8,29,1,1,1,0.239,0.301,0.345,0.645,0.279,-1.4,-0.1,-0.3,9848
Erik Gonzalez,Pirates,66,227,212,51,10,2,4,22,20,10,61,1,4,2,0.242,0.279,0.363,0.641,0.27,-0.5,-0.1,-0.3,13369
Lewis Brinson,Marlins,52,224,204,44,8,2,6,21,23,14,67,3,4,2,0.215,0.275,0.358,0.632,0.27,-0.1,0.1,-0.3,14352
Magneuris Sierra,Marlins,50,157,147,36,5,2,1,14,12,7,29,1,6,3,0.246,0.283,0.333,0.616,0.265,-0.2,0.2,-0.3,17023
Albert Pujols,Angels,118,511,469,116,20,0,20,55,76,34,70,3,2,0,0.248,0.3,0.416,0.716,0.302,-2.1,-2.5,-0.3,1177
Sam Hilliard,Rockies,79,343,312,76,13,3,13,41,42,26,109,2,11,6,0.243,0.303,0.428,0.731,0.308,-0.4,-0.1,-0.4,17954
Jeff Mathis,Rangers,58,230,211,42,9,0,3,18,16,16,78,1,1,0,0.197,0.255,0.279,0.534,0.233,1.3,-0.4,-0.5,3448
Chris Davis,Orioles,66,287,251,48,8,0,12,30,34,30,110,3,1,0,0.192,0.283,0.367,0.65,0.279,-0.2,-0.1,-0.6,9272
